Pclass,Sex,Age,Fare
2,1,32.0,13.0
2,1,24.0,31.5
2,1,49.0,10.7083
1,1,24.0,82.2667
2,1,19.0,10.5
3,1,32.0,7.05
1,1,25.0,26.0
3,1,6.0,21.075
1,1,46.0,79.2
3,1,14.0,9.225
3,1,25.0,7.925
3,0,10.0,46.9
3,1,31.0,18.0
1,1,17.0,47.1
3,1,59.0,7.75
2,1,35.0,12.35
3,1,24.0,7.775
3,1,28.0,7.75
3,1,23.0,7.05
3,1,27.0,8.6625
3,0,27.0,7.925
3,0,53.0,25.4667
3,1,17.0,7.8958
2,1,23.0,10.5
3,1,39.0,7.225
3,0,22.0,7.725
3,1,30.0,7.8958
2,1,61.0,12.35
3,1,11.5,14.5
1,1,30.0,0.0
1,1,6.0,134.5
3,1,18.0,6.4375
1,0,22.0,61.9792
2,1,26.0,29.0
2,0,0.92,27.75
2,0,22.0,21.0
3,1,21.0,8.7125
2,1,27.0,26.0
3,1,18.0,8.6625
3,1,41.0,21.6792
3,1,33.0,7.8542
1,1,23.0,93.5
1,1,36.0,75.2417
3,1,46.0,7.75
1,0,63.0,221.7792
3,1,22.0,7.225
1,1,53.0,28.5
3,0,23.0,7.8542
3,1,60.5,7.8958
1,0,31.0,134.5
3,1,31.0,7.7333
1,0,26.0,136.7792
1,0,30.0,164.8667
3,1,5.0,7.75
2,1,18.5,13.0
2,0,20.0,36.75
3,1,25.0,14.4583
1,1,50.0,211.5
3,0,23.0,8.6625
3,1,49.0,7.8958
3,1,23.0,7.2292
2,0,31.0,21.0
1,0,35.0,211.5
1,0,33.0,27.7208
2,0,29.0,26.0
3,1,36.0,9.5
1,1,37.0,83.1583
3,0,23.0,7.75
1,0,48.0,79.2
1,0,59.0,51.4792
1,1,54.0,55.4417
1,1,33.0,26.55
3,0,18.5,8.05
3,1,40.0,46.9
3,1,0.83,9.35
3,1,23.0,13.9
3,1,50.0,8.05
2,0,30.0,13.8583
1,0,36.0,262.375
3,0,41.0,7.7792
2,0,8.0,26.0
2,1,8.0,32.5
3,0,30.0,7.6292
3,1,32.0,69.55
3,1,24.0,8.05
1,1,42.0,26.55
1,0,23.0,83.1583
3,1,21.0,7.8958
3,1,20.0,7.225
3,1,26.0,7.775
1,1,67.0,221.7792
2,1,36.0,13.0
2,0,29.0,23.0
3,1,18.0,34.375
3,1,13.0,20.25
1,0,21.0,26.55
2,0,18.0,13.0
2,1,21.0,13.0
1,0,27.0,247.5208
2,1,2.0,23.0
2,1,18.0,10.5
3,1,26.0,7.0
3,1,29.0,22.025
3,1,22.0,8.05
3,1,32.5,7.55
1,0,27.0,52.0
1,0,60.0,263.0
3,0,24.0,7.75
3,1,28.0,7.25
1,0,76.0,78.85
2,1,28.0,26.0
1,0,45.0,262.375
3,1,29.0,7.925
3,1,22.0,7.775
1,1,31.0,28.5375
1,1,21.0,61.3792
3,0,21.0,8.6625
1,1,42.0,26.55
1,0,35.0,57.75
3,1,21.0,7.7958
1,1,47.0,227.525
1,0,18.0,53.1
1,1,47.0,42.4
3,1,25.0,7.8958
3,1,24.0,9.325
1,0,48.0,106.425
3,1,45.0,23.45
3,0,19.0,15.7417
1,0,50.0,211.5
3,0,17.0,16.1
1,1,31.0,51.8625
2,1,26.0,13.0
3,0,27.0,7.8792
2,1,18.0,73.5
3,1,40.5,15.1
2,1,49.0,65.0
2,1,42.0,32.5
1,0,45.0,59.4
3,1,27.0,7.8542
3,1,18.0,7.75
3,1,29.0,7.8542
1,1,30.0,45.5
1,1,39.0,71.2833
3,1,1.0,21.6792
3,1,24.0,8.05
3,1,25.0,9.5
1,1,46.0,26.0
3,0,2.0,20.2125
2,1,40.0,16.0
3,0,29.0,14.4542
1,0,36.0,31.6792
1,0,64.0,83.1583
2,0,1.0,41.5792
1,0,64.0,26.55
3,0,9.0,15.2458
3,1,26.0,7.225
3,0,1.0,16.7
1,0,18.0,60.0
3,0,30.0,6.95
1,0,22.0,59.4
2,1,43.0,21.0
3,1,21.0,7.8792
3,1,5.0,31.3875
1,0,45.0,63.3583
2,1,41.0,13.0
2,0,31.0,21.0
3,1,26.5,7.225
3,1,13.0,31.3875
3,0,23.0,8.1125
3,0,18.0,7.775
3,0,3.0,7.75
2,1,62.0,9.6875
3,1,21.0,6.4958
3,1,18.0,14.4542
2,0,12.0,15.75
1,0,53.0,27.4458
2,1,25.0,31.5
3,1,0.75,13.775
3,0,22.0,23.25
2,1,26.0,13.0
3,1,21.0,7.75
3,1,22.0,7.575
3,1,53.0,6.4375
2,1,44.0,13.0
1,0,45.0,52.5542
2,1,19.0,12.875
2,0,13.0,21.0
3,1,49.0,14.4542
1,1,45.0,134.5
2,0,21.0,21.0
3,0,26.0,13.775
1,0,23.0,82.2667
3,1,18.5,7.2292
1,1,41.0,30.5
3,1,22.0,7.55
1,1,61.0,262.375
3,1,27.0,7.8958
